# wavelength (nm),inst_bkg (ph/s) 
9.375000000000039790e+02,2.072647010866608225e-86
9.376000000000040018e+02,2.121457214899808603e-86
9.377000000000040245e+02,2.171406079371722109e-86
9.378000000000040473e+02,2.222519914186801650e-86
9.379000000000040700e+02,2.274825631291512961e-86
9.380000000000040927e+02,2.328350758316283808e-86
9.381000000000041155e+02,2.383123452522239704e-86
9.382000000000041382e+02,2.439172515061583235e-86
9.383000000000041609e+02,2.496527405558151642e-86
9.384000000000041837e+02,2.555218257013394357e-86
9.385000000000042064e+02,2.615275891047156540e-86
9.386000000000042292e+02,2.676731833481023799e-86
9.387000000000042519e+02,2.739618330269125787e-86
9.388000000000042746e+02,2.803968363786534840e-86
9.389000000000042974e+02,2.869815669482305091e-86
9.390000000000043201e+02,2.937194752905683752e-86
9.391000000000043428e+02,3.006140907113263306e-86
9.392000000000043656e+02,3.076690230465168750e-86
9.393000000000043883e+02,3.148879644819857396e-86
9.394000000000044110e+02,3.222746914136143658e-86
9.395000000000044338e+02,3.298330663490682600e-86
9.396000000000044565e+02,3.375670398521294883e-86
9.397000000000044793e+02,3.454806525303823597e-86
9.398000000000045020e+02,3.535780370674985142e-86
9.399000000000045247e+02,3.618634203007521650e-86
9.400000000000045475e+02,3.703411253450309958e-86
9.401000000000045702e+02,3.790155737642928933e-86
9.402000000000045929e+02,3.878912877915024192e-86
9.403000000000046157e+02,3.969728925980973542e-86
9.404000000000046384e+02,4.062651186141199439e-86
9.405000000000046612e+02,4.157728039000834698e-86
9.406000000000046839e+02,4.255008965719416561e-86
9.407000000000047066e+02,4.354544572798190607e-86
9.408000000000047294e+02,4.456386617423326580e-86
9.409000000000047521e+02,4.560588033372019786e-86
9.410000000000047748e+02,4.667202957496976262e-86
9.411000000000047976e+02,4.776286756801512386e-86
9.412000000000048203e+02,4.887896056116747388e-86
9.413000000000048431e+02,5.002088766394650322e-86
9.414000000000048658e+02,5.118924113635355747e-86
9.415000000000048885e+02,5.238462668453130040e-86
9.416000000000049113e+02,5.360766376303913103e-86
9.417000000000049340e+02,5.485898588384140844e-86
9.418000000000049567e+02,5.613924093217809665e-86
9.419000000000049795e+02,5.744909148946005278e-86
9.420000000000050022e+02,5.878921516334601223e-86
9.421000000000050250e+02,6.016030492514702306e-86
9.422000000000050477e+02,6.156306945476018849e-86
9.423000000000050704e+02,6.299823349324230843e-86
9.424000000000050932e+02,6.446653820322819361e-86
9.425000000000051159e+02,6.596874153734971286e-86
9.426000000000051386e+02,6.750561861484641663e-86
9.427000000000051614e+02,6.907796210654955049e-86
9.428000000000051841e+02,7.068658262837835294e-86
9.429000000000052069e+02,7.233230914359193655e-86
9.430000000000052296e+02,7.401598937399523246e-86
9.431000000000052523e+02,7.573849022021306816e-86
9.432000000000052751e+02,7.750069819132206876e-86
9.433000000000052978e+02,7.930351984400920105e-86
9.434000000000053205e+02,8.114788223145725454e-86
9.435000000000053433e+02,8.303473336217236972e-86
9.436000000000053660e+02,8.496504266902040110e-86
9.437000000000053888e+02,8.693980148859781506e-86
9.438000000000054115e+02,8.896002355126767443e-86
9.439000000000054342e+02,9.102674548203913023e-86
9.440000000000054570e+02,9.314102731250828813e-86
9.441000000000054797e+02,9.530395300418967291e-86
9.442000000000055024e+02,9.751663098336550550e-86
9.443000000000055252e+02,9.978019468781424792e-86
9.444000000000055479e+02,1.020958031256302690e-85
9.445000000000055707e+02,1.044646414463789726e-85
9.446000000000055934e+02,1.068879215248971677e-85
9.447000000000056161e+02,1.093668825580384837e-85
9.448000000000056389e+02,1.119027916745114790e-85
9.449000000000056616e+02,1.144969445583242419e-85
9.450000000000056843e+02,1.171506660858744189e-85
9.451000000000057071e+02,1.198653109772015560e-85
9.452000000000057298e+02,1.226422644616026343e-85
9.453000000000057526e+02,1.254829429579008894e-85
9.454000000000057753e+02,1.283887947698064513e-85
9.455000000000057980e+02,1.313613007965425230e-85
9.456000000000058208e+02,1.344019752592318839e-85
9.457000000000058435e+02,1.375123664432174523e-85
9.458000000000058662e+02,1.406940574568420227e-85
9.459000000000058890e+02,1.439486670069183057e-85
9.460000000000059117e+02,1.472778501912942444e-85
9.461000000000059345e+02,1.506832993088501167e-85
9.462000000000059572e+02,1.541667446874756586e-85
9.463000000000059799e+02,1.577299555301024735e-85
9.464000000000060027e+02,1.613747407795306683e-85
9.465000000000060254e+02,1.651029500022204800e-85
9.466000000000060481e+02,1.689164742915298317e-85
9.467000000000060709e+02,1.728172471908992769e-85
9.468000000000060936e+02,1.768072456373365422e-85
9.469000000000061164e+02,1.808884909255318777e-85
9.470000000000061391e+02,1.850630496934165664e-85
9.471000000000061618e+02,1.893330349292257971e-85
9.472000000000061846e+02,1.937006070006998041e-85
9.473000000000062073e+02,1.981679747070256257e-85
9.474000000000062300e+02,2.027373963537596827e-85
9.475000000000062528e+02,2.074111808515411524e-85
9.476000000000062755e+02,2.121916888387214119e-85
9.477000000000062983e+02,2.170813338288636861e-85
9.478000000000063210e+02,2.220825833832928652e-85
9.479000000000063437e+02,2.271979603094983536e-85
